time_s,theta_rad,omega_rad_s,torque_Nm,desired_velocity_rad_s
0.0009999275207519531,-0.0001907377737087046,0.012210012210012167,-0.0001079355000000004,0.012105906510282916
0.0019998550415039062,-0.0001907377737087046,-0.012210012210012167,-0.0014237916449999985,-0.012083076226991174
0.0029997825622558594,-0.0001907377737087046,-0.012210012210012167,-0.0009129892285499978,-0.012077968202826675
0.0039997100830078125,-0.0001907377737087046,-0.0366300366300365,-0.002825294836264497,-0.03627291543472791
0.004999637603759766,-0.0001907377737087046,-0.012210012210012167,-0.0023004773879018517,-0.012091843084420193
0.005999565124511719,-0.0001907377737087046,-0.012210012210012167,-0.001177908114022832,-0.012080617391681403
0.006999492645263672,-0.0001907377737087046,-0.012210012210012167,-0.001577064532882604,-0.012084608955870001
0.007999420166015625,-0.0001907377737087046,-0.012210012210012167,0.0013517706124462222,-0.012055320604416712
0.008999347686767578,-0.0001907377737087046,-0.012210012210012167,-0.0002816825936782384,-0.012071655136477956
0.009999275207519531,-0.0001907377737087046,-0.012210012210012167,-0.0009913012677414553,-0.01207875132321859
0.010999202728271484,-0.0001907377737087046,-0.012210012210012167,-0.0007878237550640399,-0.012076716548091814
0.011999130249023438,-0.0001907377737087046,-0.0366300366300365,-0.002399881017513398,-0.0362686612965404
0.01299905776977539,-0.0001907377737087046,0.012210012210012167,-0.003692817707338262,0.012070057688209533
0.013998985290527344,-0.0001907377737087046,-0.012210012210012167,-0.005275825030264877,-0.012121596560843823
0.014998912811279297,-0.0001907377737087046,-0.012210012210012167,-0.007447502279962227,-0.012143313333340797
0.01599884033203125,-0.0001907377737087046,-0.012210012210012167,-0.007179462757162604,-0.012140632938112801
0.016998767852783203,-0.0001907377737087046,-0.012210012210012167,-0.006611103629590977,-0.012134949346837084
0.017998695373535156,-0.0001907377737087046,-0.012210012210012167,-0.006351428093295066,-0.012132352591474126
0.01899862289428711,-0.0001907377737087046,-0.012210012210012167,-0.007000349312362115,-0.012138841803664795
0.019998550415039062,-0.0001907377737087046,0.012210012210012167,-0.008550281319238493,0.012021483052090531
0.020998477935791016,-0.0001907377737087046,-0.012210012210012167,-0.010386214006046108,-0.012172700450601636
0.02199840545654297,-0.0001907377737087046,-0.012210012210012167,-0.008578287365985647,-0.01215462118420103
0.022998332977294922,-0.0001907377737087046,-0.012210012210012167,-0.01162293999232579,-0.012185067710464433
0.023998260498046875,-0.0001907377737087046,-0.0366300366300365,-0.011917646092402532,-0.03636383894728929
0.024998188018798828,-0.0001907377737087046,-0.0366300366300365,-0.012813905131478507,-0.03637280153768005
0.02599811553955078,-0.0001907377737087046,-0.012210012210012167,-0.015513201580163722,-0.012223970326342811
0.026998043060302734,-0.0001907377737087046,-0.012210012210012167,-0.014861505064362084,-0.012217453361184795
0.027997970581054688,-0.0001907377737087046,-0.012210012210012167,-0.014519325513718463,-0.012214031565678359
0.02899789810180664,-0.0001907377737087046,-0.0366300366300365,-0.015691067758581277,-0.036401573163951075
0.029997825622558594,-0.0001907377737087046,-0.012210012210012167,-0.014434592580995463,-0.01221318423635113
0.030997753143310547,-0.0001907377737087046,-0.012210012210012167,-0.017420682155185507,-0.01224304513209303
0.0319976806640625,-0.0001907377737087046,-0.012210012210012167,-0.02067841083363365,-0.01227562241887751
0.03299760818481445,-0.0001907377737087046,-0.0366300366300365,-0.02027806222529731,-0.036447443108618235
0.033997535705566406,-0.0001907377737087046,-0.012210012210012167,-0.023507217103044334,-0.012303910481571617
0.03499746322631836,-0.0001907377737087046,0.012210012210012167,-0.02307858043201389,0.011876200060962776
0.03599739074707031,-0.0001907377737087046,-0.012210012210012167,-0.022654230127693752,-0.012295380611818112
0.036997318267822266,-0.0001907377737087046,-0.012210012210012167,-0.025255123326416815,-0.012321389543805343
0.03799724578857422,-0.0001907377737087046,-0.012210012210012167,-0.024204507593152645,-0.012310883386472701
0.03899717330932617,-0.0001907377737087046,-0.012210012210012167,-0.025582398017221116,-0.012324662290713386
0.039997100830078125,-0.0001907377737087046,-0.012210012210012167,-0.024830009537048902,-0.012317138405911664
0.04099702835083008,-0.0001907377737087046,-0.012210012210012167,-0.02287764494167841,-0.012297614759957958
0.04199695587158203,-0.0001907377737087046,-0.012210012210012167,-0.023965803992261624,-0.01230849635046379
0.042996883392333984,-0.0001907377737087046,-0.012210012210012167,-0.025647581452339006,-0.012325314125064565
0.04399681091308594,-0.0001907377737087046,-0.012210012210012167,-0.025197541137815617,-0.012320813721919332
0.04499673843383789,-0.0001907377737087046,-0.012210012210012167,-0.025658001226437462,-0.012325418322805549
0.045996665954589844,-0.0001907377737087046,-0.012210012210012167,-0.025509356714173086,-0.012323931877682905
0.0469965934753418,-0.0001907377737087046,-0.012210012210012167,-0.024456198647031354,-0.012313400297011489
0.04799652099609375,-0.0001907377737087046,-0.012210012210012167,-0.024622572160561042,-0.012315064032146784
0.0489964485168457,-0.0001907377737087046,-0.012210012210012167,-0.02357828193895543,-0.01230462112993073
0.049996376037597656,-0.0001907377737087046,-0.012210012210012167,-0.023148934619565877,-0.012300327656736833
0.05099630355834961,-0.0001907377737087046,-0.012210012210012167,-0.023025380773370217,-0.012299092118274877
0.05199623107910156,-0.0001907377737087046,-0.0366300366300365,-0.022903062465636514,-0.03647369311102163
0.052996158599853516,-0.0001907377737087046,-0.012210012210012167,-0.026408967340980145,-0.012332927983950977
0.05399608612060547,-0.0001907377737087046,-0.012210012210012167,-0.027764813167570342,-0.012346486442216878
0.05499601364135742,-0.0001907377737087046,-0.0366300366300365,-0.02487560053589464,-0.03649341849172421
