Time (s),Torque (Nm)
4.025,0.096
4.036,1.103
4.046,1.103
4.057,0.498
4.067,1.506
4.078,0.700
4.089,0.297
4.099,1.103
4.110,-0.912
4.120,0.096
4.131,-0.106
4.141,-0.710
4.152,0.096
4.162,1.103
4.173,0.096
4.184,0.096
4.194,-1.718
4.205,0.498
4.215,0.901
4.226,-0.307
4.236,0.700
4.247,0.498
4.258,0.297
4.268,1.909
4.279,0.096
4.289,0.498
4.300,1.506
4.310,-0.106
4.321,0.498
4.331,0.700
4.342,0.297
4.353,1.103
4.363,-0.307
4.374,0.498
4.384,1.506
4.395,0.901
4.405,0.297
4.416,1.103
4.426,-0.307
4.437,0.498
4.448,1.103
4.458,0.096
4.469,1.506
4.479,0.901
4.490,0.498
4.500,1.304
4.511,0.498
4.521,0.297
4.532,0.901
4.543,-0.106
4.553,0.700
4.564,1.103
4.574,0.297
4.585,1.707
4.595,0.700
4.606,0.498
4.616,-0.106
4.627,-0.912
4.638,-0.912
4.648,0.096
4.660,-0.509
4.669,0.498
4.680,0.297
4.690,-0.509
4.701,0.297
4.712,1.103
4.722,0.498
4.733,1.103
4.743,-0.307
4.754,0.498
4.764,0.901
4.775,0.297
4.785,1.304
4.796,1.103
4.807,-0.509
4.817,1.506
4.828,0.498
4.838,0.297
4.849,1.103
4.859,-0.106
4.870,0.700
4.880,0.901
4.891,0.498
4.902,1.707
4.912,0.700
4.923,0.700
4.933,1.103
4.944,0.096
4.954,0.498
4.965,0.901
4.976,0.096
4.986,1.103
4.997,1.304
5.007,0.297
5.018,1.707
5.028,0.498
5.039,0.498
5.050,1.103
5.060,-0.307
5.070,0.297
5.081,0.901
5.092,0.096
5.102,1.304
5.113,0.901
5.123,0.297
5.134,1.304
5.144,0.096
5.155,0.297
5.165,0.700
5.176,-0.307
5.187,0.901
5.197,0.901
5.208,0.297
5.218,1.506
5.229,0.901
5.240,0.498
5.250,1.103
5.261,-0.307
5.271,0.498
5.282,1.103
5.292,0.096
5.303,1.304
5.313,0.901
5.324,0.700
5.334,1.909
5.345,0.901
5.356,-0.106
5.366,0.901
5.377,0.096
5.387,0.498
5.398,1.103
5.408,0.297
5.419,1.707
5.430,0.901
5.440,0.498
5.450,1.707
5.461,-0.106
5.472,0.297
5.482,0.700
5.493,-1.315
5.503,0.700
5.514,-0.509
5.525,0.096
5.535,1.506
5.546,0.700
5.556,0.297
5.567,1.103
5.577,-0.307
5.588,0.297
5.598,0.700
5.609,0.297
5.620,1.103
5.630,0.901
5.641,0.498
5.651,1.506
5.662,0.700
5.672,-0.509
5.683,0.901
5.694,-0.509
5.704,0.700
5.715,1.103
5.725,0.498
5.736,1.506
5.746,0.901
5.757,0.498
5.767,1.304
5.778,0.297
5.789,0.297
5.799,1.103
5.810,-0.307
5.820,0.901
5.831,1.304
5.841,0.498
5.852,1.909
5.862,0.700
5.873,0.498
5.884,1.103
5.894,-0.106
5.905,0.297
5.915,1.103
5.926,0.297
5.936,1.103
5.947,1.103
5.957,0.498
5.968,1.506
5.979,0.700
5.989,0.498
6.000,0.901
6.010,-0.106
6.021,0.498
6.031,0.901
6.042,0.297
6.052,1.304
6.063,1.103
6.074,0.297
6.084,1.304
6.095,-0.106
6.105,0.498
6.116,1.103
6.126,-0.106
6.137,0.901
6.147,1.103
6.158,0.498
6.168,1.506
6.179,-0.106
6.190,0.498
6.200,1.103
6.211,-0.307
6.221,0.297
6.232,1.103
6.242,0.096
6.253,1.304
6.264,-0.307
