Time (s),Torque (Nm)
5.294,-8.895
5.304,-7.888
5.315,-9.701
5.325,-8.493
5.336,-7.888
5.346,-8.694
5.357,-7.082
5.367,-7.888
5.378,-8.895
5.388,-7.485
5.399,-9.500
5.410,-8.493
5.420,-8.090
5.431,-9.097
5.441,-8.090
5.452,-7.687
5.462,-8.895
5.473,-6.881
5.483,-8.895
5.494,-8.694
5.504,-8.090
5.515,-9.500
5.525,-8.694
5.536,-7.687
5.546,-8.895
5.557,-7.082
5.568,-8.090
5.578,-8.694
5.589,-7.888
5.599,-9.500
5.610,-8.694
5.620,-8.090
5.631,-9.298
5.641,-7.888
5.652,-7.888
5.662,-8.694
5.673,-7.082
5.683,-8.291
5.694,-8.895
5.704,-7.888
5.715,-9.500
5.725,-8.291
5.736,-7.888
5.746,-8.694
5.757,-7.284
5.768,-7.888
5.778,-8.694
5.789,-7.485
5.799,-9.298
5.810,-8.493
5.820,-8.090
5.831,-9.298
5.841,-8.090
5.852,-7.687
5.862,-8.895
5.873,-6.881
5.883,-8.493
5.894,-8.694
5.904,-8.090
5.915,-9.500
5.926,-8.493
5.936,-8.090
5.947,-8.895
5.957,-7.284
5.968,-7.888
5.978,-8.895
5.989,-7.687
5.999,-9.298
6.010,-8.895
6.020,-8.090
6.031,-9.298
6.041,-8.291
6.052,-7.888
6.062,-8.694
6.073,-7.082
6.084,-8.493
6.094,-9.097
6.104,-7.888
6.115,-9.500
6.126,-8.493
6.136,-8.090
6.147,-8.895
6.157,-7.284
6.168,-7.687
6.178,-8.493
6.189,-7.485
6.199,-9.097
6.210,-8.694
6.220,-8.090
6.231,-9.097
6.241,-7.888
6.252,-7.888
6.262,-8.493
6.273,-7.082
6.284,-8.291
6.294,-8.895
6.305,-7.687
6.315,-9.701
6.326,-8.493
6.336,-8.090
6.347,-8.895
6.357,-7.485
6.368,-7.888
6.378,-8.895
6.389,-7.485
6.399,-9.097
6.410,-8.694
6.420,-8.090
6.431,-9.298
6.442,-8.291
6.452,-7.888
6.462,-8.694
6.473,-7.082
6.484,-8.493
6.494,-8.895
6.505,-8.090
6.515,-10.507
6.526,-9.701
6.536,-8.090
6.547,-9.097
6.557,-7.485
6.568,-7.888
6.578,-8.694
6.589,-7.485
6.599,-8.895
6.610,-8.895
6.621,-7.888
6.631,-9.500
6.642,-7.888
6.652,-8.090
6.663,-8.493
6.673,-8.694
